text,sentiment
"They broke pretty quickly even though they were metal crafted. I would not pay this for a pair of earbuds again, mostly due to the ease of damage. I loved them while they worked though. Sennheiser makes some great headphones.",positive
"These work very well in the Nikon R1 flash system - specifically the SB-R200s.  I bought these very tentatively, unsure if they'd somehow kill the flashes given their potentially different voltages from the nominal 3.0V, but I've used them a whole bunch now without any issues at all.  Flash recharge times and in fact general cycle counts [per charge] seem very much the same as non-rechargeable CR-123As, which surprised me, but there it is.<br /><br />The included charging kit pretty much covers all bases, except a USB adapter I suppose.  Charging is pretty quick, too - at least compared to 18650s or NiMHs of any shape.",positive
"Sounds great.  Kinda inconvenient that it only fits in one ear, but it works and sounds so good.  Battery life is kinda meh, but I am able to charge it throughout the day as needed.",positive
Does not work on the hello kitty ride on car do not buy waste of time !!!!!!!!!!! Not happy about this,positive
"I had 2 rather expensive radios that I've owned for many years.  One, CC, didn't get AM stations.  The other, a Grundig, was good.  I took it everywhere, including the garden.  The antenna finally broke.  I finally chose this radio to replace.  I couldn't be happier.  It's smaller and lighter, easier to carry with it's built in handle and AM reception is better than my old Grundig.  I love this radio.",positive
"Been using these headphones for years. Good quality, but they tend to start breaking down after about 6 months of heavy use.",positive
"Metal tip broke off & had to spend about an hour getting it out without damaging my laptop's jack. No thanks.<br />2 stars because I have been using it for about a year before it happened, but man. Awful way to go out. I DO NOT RECOMMEND THIS PRODUCT.",negative
"i was led to believe this was a linear amplifier, I was surprised to find it was a switching amp which would not drive my Polk Audio Speakers. The Surround options were minimul and for future reference when reading the specs always look at the weight. That will lie you know if it is heavy enough to be a linear driven unit. Needless to say I returned the unit and went with Onkyo",positive
"This was to to replace a HDMI to S-Video converted which burned out after a couple years.<br /><br />After about 5 minutes the audio of what I was watching was replaced with a high pitched squealing.  I muted it because this is a second TV in the room and I could listen to the other.  After about an hour the video stopped working as well.<br /><br />The video signal is mediocre, but this is true of all 3 of these converters I have used.  The audio has quite a bit of hum to it, but this was also true of the previous one.  The performance while it was working was acceptable, but the blank screen with high pitched squealing wasn't.",positive
"It's ok, sort of buggy.  It will occasionally switch inputs and I will have to manually switch it back.  And no, there are no other powered inputs turning on causing it to switch.  It was cheap and worth a shot, will keep looking for a better solution.  Working for now though.",negative
"These headphones sound terrific.  They are enormously bass-heavy, but I like that.  There's only one thing really wrong with them: they are HOT.",positive
This speakers outlasted my player. Great product great condition,positive
"How do I play all my songs? I made a playlist and transferred it to the MP3, every time I try to play the list it defaults into 1 artist. Help",positive
"Product arrived earlier than expected, and works perfectly fine. It's a bit hard to get headphones into the one end, but sound quality is good and it works just fine",positive
"cheaper ones at home depot, price shop before you buy but does work well",negative
"This mount is okay, but I wouldn't recommend using it on anything bigger than 42&#34;. This mount is very short (horizontally), so when I mounted a 50&#34; to it, there is literally no room to move the TV from side to side. I replaced the bolts they provide and used security bolts which require a special adapter to remove the bolts. I really cranked down on the bolts because I was afraid that if someone accidentally bumped into the TV it could move it a fraction causing the TV bracket to come off the wall mount plate (there is NO ROOM TO SPARE, so ANY movement in a sideways direction and it will be off of the mounting plate).<br /><br />Here's the model that I've used on over a dozen TVs (all 50&#34;) and they were able to allow movement of the TV 4-5&#34; in either direction and not cause me to worry: http://www.amazon.com/gp/product/B00BT0RT8Q?redirect=true&ref_=cm_cr_ryp_prd_ttl_sol_26",positive
"I was impressed by the quality of the material right out of the box. The cover fits the UE BOOM well, but not &#34;snug&#34;. It's a little big but it will do, you can fit the charger in the bottom of the case along with the speaker.<br /><br />Overall, I'm happy with the purchase.",positive
"Perhaps it because my IMAX 2000 antenna is not far enough away from my other antennas, but the addition of the GPK (Ground Plane Kit) raised my SWR to 1:1.5<br /><br />Removal of the GPK returned it to closer 1:1.2<br /><br />Maybe I am picking nits.  My antenna is 15' about the ground located close to a scanner antenna and a HAM HF antenna.<br /><br />When I move the IMAX 2000 to a more isolated location I will re-install the kit and report.<br /><br />Installation was simple.",positive
"Right ear cup failed after 4 months. Bose replaced it under warranty, and the same problem happened in 3 months on the replacement. I only ever kept the headphones in the protective case or on my head. Very disappointed.",negative
"Purchased some time ago, have had 0 issues with it, great sound..",positive
Bought two. One came with the power supply the other did not.,positive
"Was nice and bright ehile it lasted, but only worked for 8 months.  I know it was cheap, but i expected at least a year out of it.",negative
Easily breaks were the speaker and head rest meet. bought two and both broke in same place.,positive
"This mount is strong and can hold a considerable weight when properly installed, hence follow directions and attach firmly to the wall. It doesn't have the greatest amount of angle variation so tilting it from vertical much more than 10 degrees isn't going to happen. I don't think they are manufacturing them anymore, I would think due to how sturdy it is and how much lighter flat screen televisions are becoming as technology advances. Unfortunately this one was not new as it was advertised and was missing almost all the screws and bolts required for installation but the seller stepped up and returned half the original price for the product.",positive
"THIS WON'T WORK FOR BEATS SOLO2. The cable works wonders for those devices where the hole is open, meaning that nothing interferes the entrance of the cable. Since the width of the metal (or whatever it is) part is quite large, it won't fit on &#34;closed-holes&#34; devices. I don't think anything apart from several headphones have these types of holes but just make sure there isn't any plastic or anything interfering or limiting the FULL entrance of the cable.",negative
"I hate it.  Does not respond to my touch 7 out of 10 times.  Difficult to operate.  Despite a 3 wk. learning curve the darn thing is still very difficult to operate.  When i decide to change my commands (say to shuffle songs), I have to go to the beginning of the menue and start over and sometimes it simply will never let me select shuffle as a 2md choice.  I bought this because my old 5th Gen wore out (battery).  I wanted the bluetooth option so i physically work without the cord wiping around.  It does that well so it gets a star.  However: because it is so hard to operate I never use it to work with because I can't take the extra 3 minutes or so to get it to operate.  Hate it!  Wasted my money.  Worst Apple product I ever bought.",negative
"My wife misplaces two things almost every day.  Her phone and her keys.  When this happens it becomes my responsibility to locate them for her.  This is not something that I particularly like to do since I have a specif location for them things and have set aside a space for her as well.  I bought this for a Christmas gift for her last year and my life got better on Christmas day when she unwrapped it!<br /><br />We placed a receiver on her keys, my keys, her phone and in a medical bag I carry everywhere.  We use the finder to locate one of these items almost every day.  Even buried in my bag which is buried in my backpack I can still (faintly hear the beeping).  I have not yet found a good use for the other 2 receivers but I am sure that I will.  I am considering dropping one in her purse without her knowing.<br /><br />Setup is a breeze.  Just pull the tab on the fob and it is ready to go.  Some are a little stiff and require opening up the battery door to loosen the grip on the plastic tab.  After that all you need to do is Click and Dig!  ;)<br /><br />I did have some issues with the adhesive not staying on the back of her phone case.  I spent about 20 minutes scraping off all of the residue and used some Sugru [[ASIN:B00EU7DBNM Sugru SBW8 Self Setting Rubber, Black/White, 8-Pack]] instead.  This worked perfectly!<br /><br />Using a label maker I put what color goes with which item on the back of the transmitter.  This has proven VERY helpful<br /><br />The pack comes with an entire spare set of batteries.  I have yet to use any of these after 9 or so months of use.<br /><br />Like:<br />Ease of setup<br />Reliable to use<br />Made my life easier!<br /><br />No Like:<br />Battery door on keyfob comes off easily, battery door on stick on ones is on the back and not accessible when attached<br />Fob will sound on its own if struck hard.  Running down the street with keys in my pocket is enough to do this.<br /><br />Recommendation: if you are looking for a deviceto help find keys, phones, remotes, and the like this does the trick.  I did not expect to use this for myself as much as I have had but I have been grateful that it was there every time I have activated it.",positive
Not good contacts to battery...they are stuck and won't slide to make proper contact with battery...took 2 days to fully charge a c cell battery...who has this kind of time to wait that long?,positive
I just use it for music.... but....This is one tough little sucker.  I have been know to be a bit clumsy with these little devices and I have put this one way past it's life expectancy... it is like a &#34;Cat with Nine Lives&#34;,negative
"http://www.amazon.com/gp/product/B0001FTVEK?redirect=true&ref_=cm_cr_ryp_prd_ttl_sol_0<br />Good sound for sure.<br />However, the cord from the base to plug-in has totally disintegrated.  Little pieces of cheap plastic all the way down the cord to bare wire. To repair they need to be rewired.  I called Sennheiser and there is no recourse.  You must pay to send to them. Pay them to repair cord pay then for return shipping.  They do not stand behind their product very disappointing and expensive!<br />Would never buy their product again.",positive
This range extender is suitable for the UK but does not fit the wall outlet in the US. That's all.,negative
"Very good product, as described.it wasn't what i was looking for",positive
"not only does this speaker produce a clear, full sound, it's also very easy to pair! The product shipped quickly and I'm very happy with this purchase!",positive
I returned it.  I needed a CD player that would be loud enough for a group to sing along with a split track for rehearsal.  This volume was not loud enough.,negative
Only thing that works on it is the radio and that is not really not very good. I would not recommend it to anyone.,positive
Great little blue tooth speaker. Holds charge for a full  day. but after one year the battery died. You get what you pay for,positive
I do like the radio very much but there's one thing holding me back from 4 stars. It has a very loud speaker. But headphones are loud too. The volume dial is cumbersome and I think it would have been better with a larger volume dial rather than the small one it has. I have fat fingers so it goes ...can't hear it.. ... SUDDENLY LOUD!!!!,negative
"It worked great for a few months, but here I am 3 months later with the bulb failing. Amazon won't take it back, even though it's advertised with a 1-year warranty. Boo!",positive
"It's cool, but could be cooler. The projected time focuses a little, but doesn't take into account people that wear glasses and take them off at night. Also the tilt of the time goes up and then backward. So if it's on a night stand next to the bed it only can go further behind your head, not in front so you can view it. The only way to view it in front of you is if you put it on a stand at the foot of the bed, but then there's the whole no glasses thing. The buttons, you have to push them multiple times to get them to work, except for the snooze button on top which is very handy and accessible. The nature sounds I don't use, I think the waterfall one just sounds like noise. The temp works well and so far the outside one works well too.",positive
Works great. Price was so cheap. Walmart wanted $90 and got mine cheap. Thank you,positive
Great for the price.  Can't ask for more than that.  Unfortunately I lost them but I'll be buying a new pair.,positive
This was what I needed for my bedside table. It is high quality. I just wish it was bigger than the picture made me think.,negative
The ends were allways coming loose and cable started shorting out had to throughout already,positive
"It was okay. Nice sound, but it didn't last very long for me, as one of the ear buds had stopped working.",positive
"I am so disappointed with Bose...Having had their speakers before,I was distraught to find out that the Bluetooth would not synch with my IPhone - including my new 6Plus. What a total waste of money!! Sorry Bose - no longer will I order from you...",negative
"I originally had iSport Victory (grey) headphones for 3 years (until I let someone use them and they broke them).  Those headphones (iSport Victory) were great.  They had amazing sound and isolation and were comfortable for long periods of time.  These headphones (which I received today) are a struggle to get into my small ears even with the xs adapters, and from my initial sound test sound somewhat tinny compared to the other headphones.  As of right now these are NO where near the sound quality, or as comfortable as iSport Victory.  I rated them as OKAY  (3 stars because) due to the reduction in price, and since they seem like they will be durable and have good bass.  If after a week of use my opinion changes, I will update my review.",positive
"The sound on these was okay, but the bass was a bit low.  I bought these strictly for running and found them to be a bit awkward.  They did not stay put as i would have hoped and the wrap around didn't work a well for me, I felt like I was constantly having to mess with it.  The connection to switch out cord lengths is very heavy and unless its fastened down keeps hitting you while running which was a bit annoying.  My bigger issue was that the sound would cut out while running.  I ended up sending these back and JLab customer service was great and made the process very easy.",positive
"I love the speaker. I just HATE the 'the bluetooth is ready, the blueetooth is connected as successfully' notification is SUPER loud and cannot be adjusted, other than that it's got great sound, loud speaker with bass. Lights up. I actually have mine plugged into a bathroom outlet to give it a night light and also have some tunes while I get ready. Cool product, also bought as gift 4 times over, and the recipients love the speaker as well.<br /><br />I use it mostly for bluetooth//but also has FM Radio//Aux In//Memory Card reader. --I have tried all and they work well.",positive
"Decent product considering BUT some major design flaws (main &#34;multi-function&#34; button design is complete garbage and is pretty much inoperable while in ear). However the main issues why you should stay away (and why I am returning it) are:<br /><br />1. Obvious FAKE Reviews ... just check some of the reviewers - &#34;real people&#34; like some with 30 reviews in one day including 5+ reviews for multiple &#34;selfie sticks&#34;. Sorry, unacceptable and Amazon should deal with it ...<br />2. Same product with different branding available for less then half the price",negative
"Look what I wrote below in August of 2015, now read this update:  It's May of 2016 and this battery has failed after just 8 months.  The original battery Verizon suppled lasted nearly 7 years.  I guess you get what you pay for.  I have changed my rating from 5 stars to 1.  I realize a sample of one is in no way a guarantee of widespread results - I just wanted to share.   Original Aug 2015 review begins here:  I just ordered & received this a couple days ago, so this review only pertains to face value of the product.  We use Verizon Fios, and the original backup battery they supplied reached end of life after 7 years. Verizon wanted $45 for a replacement.  This battery essentially has the same specs at less than half the price. Upon receiving, I can see the size is exact. The build quality and weight are the same - so I'm giving two thumbs up as it seems like a nice deal. Now I just hope it lasts as long as the original. BTW, be sure to look carefully at the connector (&#34;terminal&#34;) sizes of the different batteries. If you search for Verizon Fios battery replacement, some of the batteries that come up use the smaller F1 size. Our optical terminal needs the slightly larger F2, which is what this one is.",positive
"This is a mount. We selected this model since it sits flush to the wall (1&#34;) and does not swivel or tilt. It came a lot earlier than expected. We had ordered it on a Sunday and had it in hand by Wednesday. That was with Amazon's free shipping, too! The mount is a steal at this price, too. It's solid and non of it feels flimsy or made me feel like I shouldn't be mounting my brand new TV to it. In terms of actually mounting it? I had the TV on the wall in about 10 minutes.<br /><br />TLDR: Great product, great price, easy install. Buy it.",positive
"Like the other reviews said, the cord is way too short.  Why Philips made this to replace the near perfect SHQ1000 I'll never understand.",positive
The connection is delicate... be very careful pulling it out..,positive
Previously when my lamp burned out I thought it was a big fix that required a professional and it cost over $200. Now I know for under $30 and 2 minutes off time I can replace the lamp. Wow.,negative
"I love the bluetooth capability and the wireless connection. I love the way they stay in my ears when I run. And I love the volume and skip/pause buttons on the wire. But I was spoiled with my Bose, the sounds quality is just nowhere near as good as Bose. But a decent product for the price.",positive
Pins are thin and a bit flimsy but still a good value for the price,positive
"The sound isn't all that great and they started falling apart after a month or so. They were comfortable while they lasted, but that's about the only thing that's positive about them.",positive
"One of the cases was broken on arrival.  It appears that the shrink wrap packaging was the cause.  It is possible that it was due to crushing of the bubble envelope in transit, but this seems less likely given what the package looked like on arrival.  The case that arrived intact appears exactly as advertised, including the Panasonic logo.  Seems sturdy enough and the clasp mechanism keeps the case securely closed.  Given the breakage others considering ordering this product might consider ordering the six pack rather than the two pack just in case.  I'm not returning for a replacement because the return postage and the time spent just aren't worth it.  I gave it three stars because the definition for three stars is &#34;It's okay.&#34;  The two-star rating definition is &#34;I don't like it.&#34;  In fact I do like it, but only the one that wasn't broken.",negative
"I love this clock! I especially love that you can turn off the display at night. The blue screen is SO bright in the dark. The projection is nice and clear. It connected to the proper time with no issues. This is my third projection clock - somehow after time, the projection goes wonky. I am hoping that this one lasts a nice long time.",positive
I have some tapes that it cliams are protected when I have set them as unprotected.,positive
"awesome transmitter.  easy to change the channels, great video quality.",positive
Terrible product. Touch screen sucks. Shuffle stinks. You'll want to smash it against a wall. Recently had problems with uploading songs from Rhapsody.,negative
"I just used these for the first time and they are great!  Very comfortable and fit perfectly, they stay it, and the ear part isn't hard plastic so it fits better and feels Better than others. Sound is fine, I don't expect the concert experience with working out. I wish there was a little more room before the wires joined together into one, but that's minor.",positive
This product lasted for only 2 months burned out after that! useless!!!,negative
SEEMS TO BE AS DESCRIBED. WORKS FINE. NOT AS SENSITIVE ON FM AS I WOULD HAVE LIKED.,positive
This thing is big. I had to install something smaller,positive
"It was a great Water proof speaker , but after only a year and half it No longer will hold a charge. Too Bad since it produces a great sound.<br />Guess I'll have to invest in a more durable Water proof Bluetooth product",positive
"Would have been 5 stars, but there were only 24 CD cases in the package instead of 25.",positive
"The initial appearance of the product was great. The design is great, the earbuds easily fit into your ear and don't fall out even with movement. I was able to easily pair the earphones to my iPhone 5s and got it all worked out. The range of things the earphones can do (take calls, play/pause music, volume adjust, etc.) is great. The product comes with a wonderful carrying case and many choices for ear buds and ear inserts to replace lost or non-fitting ones. Everything was great and I loved this product. I played some music while sitting on my sofa and they worked great. I just took the earbuds for a run and was very disappointed. I'm not sure what is going on, but the music skips a lot. It's almost as if I was running with a CD player and every little knick or bump on the road caused the music to skip. It wasn't the bluetooth connection, it didn't seem like volume was lost and then would come back where the song should be. Instead, the music genuinely skipped, like I said above, like a CD player being tapped. I thought it would work out or that I could just ignore it since it was only one skip about every 100 feet. But twice during my run (at miles 2 and 4) the skipping got so bad I had to stop and turn the earbuds on and off. I wore them while in the car later that day and they worked great (no skipping), but as soon as I started walking at my destination the music began to skip again. I have used other bluetooth devices with my phone and know it is not the phone's bluetooth broadcasting or receiving. I'm talking with amazon to see if they can replace them and hopefully this is just a manufacturer's defect in just this pair.  Good: -great fit -work when sitting still -easy to pair with phone -nice design  Bad: -music &#34;skips&#34; when walking or jogging -earbud with controlls give off a rattling sound when running",negative
Great value and a very effective tool for the price - 4 stars reflect this product for what I paid for it. Would have been 5 stars if the sheath for the light source wasn't the silliest thing ever.,positive
"I have done alot of mistakes in my life...  One time i was driving at night and exedently hit a cat... Sadly the cat past away because i was to fast.  An other time i was not really thinking about what i am eating and got super sick for 3 weeks in Costa Rica.  But by far way far my biggest mistake was that i got these Headphones!  I listen to Musik every day and i am used to good quality head phones in the price area of 100 Dollar (usually Sony, Awesome Quality good sound and the last a long time).  Than i saw these Headphones and tought... man lets try these!  Bam i got them from the US and used them for 3 months and slowly they started breaking down.... ok well not slowly i broke down like sugger at a rainy day!  Dsamn guys this device is over priced, the Quality isnt good compared to other company and the material just suck!  The paint started to peel off, on the top the headphoned started to crack (maybe my Head is to big... but damn 160 Dollar)!!!!!  If i can give you an advice.. than dont ! its more worth to burn the money to get warm instead of using  them.  There are much better comanys and devices than this peace of junk!  I am  quite mad about this and its almost 2 Years ago. I might just be a hater or someone who likes to let go a s*** storm but that was my worst thing i bought in my life!  Just never look on this device ever again, after u are done searching delight the link off your browers.    With kind regards",positive
"For the price, it's an ok Bluetooth speaker. It crackles quite a bit with unclear sound. If I decide to get another Bluetooth speaker I will do more research and probably spend a little more for a better quality one.",positive
"I've been a loyal Sony fan since childhood.  This is the first time they've disappointed me.  I know little players like this won't have perfect sound, but I do expect talk radio will be clear enough that I can listen without having to strain to understand what's being said.  It's impossible on this unit.  I've tried AM and FM and CD music.  The sound quality is so poor, I couldn't tolerate more than 5 seconds of the CD I'd put in the player.<br /><br />The treble range on this player is just abysmal. To illustrate: there is no discernible change in the way this player sounds when I shut the door to the room it's in and listen to it through a wall.  The volume is lower, of course, but the sound clarity I perceive is precisely the same. Higher frequencies are readily blocked by obstacles so speakers with reasonable sound quality should exhibit a noticeable difference in the sound you perceive when you place a wall between yourself and them.  If there's no difference, you can conclude the treble frequencies are not being adequately reproduced.<br /><br />I wanted to like this little player.  It fits perfectly in a small space.  The controls are intuitive. It's a good price. But it's purpose in the universe is to reproduce sound adequately.  And at that, it fails.",negative
I loved it pretty simple to assemble and fits nice anywhere,positive
"Audio sounded great, but the cords were frighteningly thin and fragile, the retractible system that pulls the cord in sounded a bit feeble as well. I sent it back for a refund.",positive
"Good and feature rich product but appears to suffer from overheating issues. Original purchase resulted in exchange when audio announcements failed. Became distorted beyond recognition. Mimicked audio amp failure. Replacement unit failed as well with the same issue. If you do not care for the announcements, the camera is good. You will just not know the state of recording or if certain features are enabled or disabled. Video quality is good but not great. Looking for an alternate option.",positive
How do you tell if you have a bad battery will the lights keep flashing or stop flashing and never shut off.,negative
"The perfect official Sennheiser headband cushion replacement, but I assumed incorrectly that for this price I would be getting 2. The ear cushions are sold in pairs, why not the headband cushions?",positive
Was not compatible with my projector and dish hooper.,positive
Ehh the headphones were ok while they lasted. After 4 months the Jack input went out on the headset. Nothing wrong with the wire (i tried it on a different pair) but they were good while they lasted.,positive
The sound is great but the ear stabilizers hart my ears I have small ear I removed them and they work great without them will get them again.,positive
ANTENNA DOES NOT WORK AS ADVERTISED 50 MILE RANGE ...DDDISAPPOINTED WITH PERFORMANCE  RICHARD,negative
"So far so good.  I like the sound, the look, & the feel.",positive
"Wished the wiring was longer, and that there was a 2nd adhesive tape for mistakes, but overall, works well. Got over 150+ channels.",positive
Perfect. It has a thicker coating but is still flexible. The tips make a nice solid connection. Signal quality looks great.,positive
"Extremely happy with this purchase!  I bought this receiver to replace my Sony STR-DG910, which after a recent 4K TV purchase (Samsung UN55JU7100 - great TV btw) I decided needed replacing so as to have HDMI 2.0 support through my receiver.  I've been meaning for at least a year to get a newer receiver so as to have better network capabilities for streaming purposes, and so glad I waited until now to ensure the HDMI 2.0 support.<br /><br />Setup of this receiver couldn't have been easier.  I was surprised to find so little printed documentation included (a few disclaimer pages, a one page quick setup guide and a CD is included with electronic docs, but I downloaded the owners manual from the Yamaha site to ensure I had the latest copy).  The printed one page quick setup guide that was included was sufficient for the initial setup, for which I used the included YPAO microphone to ensure my 7.1 speaker system was synchronized properly.  One issue that I did have was that my XBOX One initially had no Video/Audio, but after replacing the stock HDMI cable that came with the XBOX One all was back to working.<br /><br />The options that I love in this receiver are: 1. Bluetooth support, 2. streaming support from a DLNA server, and 3. great free iPhone app.  I initially started streaming mp3s to the receiver from my iPhone (which worked great), but thought why not stream directly from my home server where all my music is stored.  I tried three different DLNA server software products: TVersity, Plex and Serviio.  TVersity was good, but was not free, Plex didn't seem to offer the ability to view my music in the folder structure I have it in, only by Artist, Album, etc, and Serviio was much like TVersity, only free (hence my choice to use Serviio).  Regarding the iPhone app, it gives a lot of the functionality of the remote control, though could use some updates just to make it more user friendly and perhaps a better aesthetic (but for free, I'm not complaining!).<br /><br />Two things I'd like to see improved:<br /><br />1. Please allow the removal of unused Inputs.  I hate scrolling through more Inputs than I'm actually using, so giving me the option to remove some unused Inputs when scrolling through the available Inputs would be well received by me.<br /><br />2. Ability to upload Wallpapers to the receiver - there are only two included, one a Piano and two is simply a Gray screen.  Not a biggie, but I imagine this shouldn't be too difficult.<br /><br />Overall this receiver was one of the best electronics purchases I've made in years.  I highly recommend it and hope this review helps :)",negative
hooks don't grab on the printed monoprice screenprint.,positive
The first one didn't work. The other mic was so low you could barley hear.,negative
"I liked how this model was cheaper and came with a strap, However it is smaller than i thought, it is designed for smaller devices and not larger devices like the Iphone 6. HOwever the iphone 6 will work on it if you take the case off of it. Loved the included headband, the only problem is that the adhesive strips that come with this headset are too weak and dont stay on if you are using the device with the headband so some extra adhesive would be needed for headband use. Other than that, works as expected.",positive
"No matter what source of music I use for downloading songs ( even AMAZON MUSIC)  this mp3 player gives me an error message such as FORMAT ERROR. So, I received this device last night. This morning it went to the trash can...Thanks!",positive
"So far, out of the first 50 or so I've used, 4 of the covers opened, but fail to remain closed again (the catches that hold it closed are sprung).  I'm glad that I ordered 100 for the 50 I needed for a project, as the trend has continued and it looks like a 5% materials &#34;failure&#34; rate.  Keep this in mind if you're ordering these for a specific count / use.",negative
"I bought these earbuds specifically because of the claim (&#34;guarantee&#34;) that they fit small ears. I have always had trouble getting earbuds to fit and be comfortable in my small ears, and was happy to see that the company would work to size or replace them if they did not fit.<br />Well, in short, the claim is a scam. If indeed they don't fit you, as mine did not, they won't do anything to help. At all.  Just said to return it to the store. Gee that's helpful. In short, don't believe their tagline. This company does NOT stand by its product.",positive
The keyboard on the back doesn't work but it's no biggy...,positive
"I was buying these to replace my Sony MDREX 58V headphones which lasted forever but are now on their deathbed and I was severely disappointed. I can be picky with headphones, and those Sony's are the best buds I'd ever owned but these headphones just clearly fall way short of even my Sony PS Vita headset, let alone the 58V. I would've loved to get another pair of 58V's but they're discontinued and now everyone is charging double the price for them so I had to find an alternative.<br /><br />I probably shouldn't have trusted the reviews but I got suckered into buying these. They're not terrible and actually, the mic sounds better than any other headset I own. They also fit absolutely perfectly and seem like they'd never fall out either. The Sony 58 V's were the same way too which is a very important thing. It's extremely important to the sound of these headphones that they form a perfect seal in your ear canal. Many headphones you'll have to wiggle them around to hit the sweet spot but these fit perfect.<br /><br />The problem with these headphones is just the sound. Way too much boomy bass, not deep bass, boomy bass (probably around 120Hz) and worst all, almost no treble at all. They sound downright muddy compared to the sony's I have or even the $7 panasonic's I've got many times (the #1 best selling headphones on amazon). They just don't sound good to me. Not the worst but far from the best<br /><br />Pro's<br /><br />-the mic sounds great<br />-fit absolutely perfectly<br />-call button<br /><br />Con's<br /><br />-Sound really poor for music. Too much boomy bass, not nearly enough treble<br />-No mute button<br />-Not as good as many other headsets on the market<br /><br />I ended up selling these to my mom and order Sony MDREX38i's. I'm extremely happy with the Sony 38i's which do have a mic but to my surprise I think they actually sound better than even my Sony 58V's that I've loved so much",negative
Mine arrived without a lable.  Hopefully in the years to come I'll remember what's in it.,positive
"Update to my original review: it has been about a year and a half since I've owned this speaker and I rarely use it as the Bluetooth connection is extremely bad, any obstruction (stand in front of it, hold the phone with my hand) will kill the sound. Today, I took it out of my drawer to give it another shot and being 5 feet away from it, I lost sound connection.",negative
"Took a bunch of these to a destination wedding for my use and to let others borrow. They were cheap enough I could just leave them there since I don't travel to places the require these often. They fit the outlets great and worked for all of our US electronics (I can confirm phones, tablets, hairdryers, and hair straighteners were all plugged in).<br /><br />Probably not the most solid built adapters in the world, but for our week of use none malfunctions, broken, or did anything we would consider unsafe.",negative
TOSLink very finicky.  I'm using the phones output from my amp that works very well.  It is a challenge to ensure both my headsets are charged up since only one can be charging at a time.,positive
"Very cool, and simple. Does almost everything the more expensive models do. However for the price, it could include a headstrap. Also the description doesn't mention dimensions or compatibility. The Note 4 is too big for the back to close. I can hold the phone there and it works fine, but it's a bit awkward. Otherwise, it does the job",negative
"Works fine, but the big blue light on the front annoys me when I'm trying to sleep.",negative
Waste of money. Touch does not work well and get frozen or turns completely off often.,positive
Had these for a few months and the right bud is already dead. Which really sucks because I really loved them up until now.,positive
Amazing. Love that it has a long cord. Won't have to use two powers strips now. Nice that it has a cord holder on the side,positive
Why am I giving this 3 stars?<br /><br />Pros: This has a very good battery life<br />  Its well made<br />  Digital display is very good<br /><br />So why the 3 stars?<br /><br />For such a large unit the plugs are too close together in the back. You can not use this with larger sized plugs.  If you are ok with that you will be fine.,positive
The unit was not working when it arrived.  There was no power to the turntable.  Amazon allowed me to return it no questions asked.,positive
