review_number,review_text
review51,"I barely got three uses out of the Explorer 1000 before it completely broke down despite all efforts with troubleshooting. I had purchased the 1000 model on 2020. It is now 2024. It was mainly for power outages at home and periodic outdoor trips. For comparison, I had also previously purchased 300 and 500 models and both continue to work very well despite having been purchased earlier. Jackery support team went through the typical support responses (eg. “Power stations are like car batteries and you should….” etc etc and “try resetting” etc and they could not give further support). To be fair, it was just one year beyond the warranty period so “that’s their policy on these matters”. Sigh. What I have learned: Their products are attractive and generally work well. Their products are popular. But Jackery’s product support is typical product support. Other company’s product support have gone above and beyond. Was hoping for additional information on alternatives to revive the power station (try sending to third party to repair etc etc) After all, I had only used it three times and paying $990 for it! Wonder if others have had slightly better support during the warranty period? Oh well…… Updated review 06 Feb 25: After this review, I was contacted by phone and email about the issue. Kudos to them for that. Jackery said that I could send it to them with postage paid by them and they will re-evaluate it for repair and if possible fix it for a price. Sounds reasonable. Later Jackery indicated I need to pay for postage as well! Obviously, the cost of paying the postage, AND the repair (if fixable) was not worth it. Additionally, I was on vacation during the communications and Jackery seemed to be in a rush and keen to close the ticket. Pluses and minuses here; I’d say that their products are generally good but Jackery’s support, in my case , if needed, is like pulling teeth. I like to support a company with both good products AND customer support. I’ll try Anker or Ecoflow next."
review52,Product seems fine at least after just a week of ownership but this connector issue why do we have to have special connectors and junk up our drawer with all these different connections very disappointed… make one kind of connector and stick to it for charging your battery from a solar panel…. it’s proprietary that does no one any good So unless you wanna search search search for special connectors that fit your Jackery look elsewhere
review53:,"Just received my Jackery. While I haven't actually used it out in the wild yet I'm already highly disappointed. The box was sealed, but after taking the unit out I saw several scuffs on the top and front of the unit. One mark in front is deep and bad. So apparently they're repackaging returns and selling them as new. Not cool. I charged it to 50% right away, and the charging speed from my wall outlet was steadily and consistently about 240-245 watts. It never even hit 250 watts. The bluetooth kept disconnecting even though I was only about five feet away from the unit with my phone. I have no interest in or use for using wifi, but there's no way to disable it. Not that big of a deal, but the flashing icon is a bit annoying, and means it's constantly working to find a connection and connect. Not sure if this is a lemon (someone returned it after all) or if they're all like this, but it's definitely not what I was expecting. I already have an older 240 from a few years ago, and have had no issues with it. Unfortunately I lost the wall charger for that and only have the car charger. The wall charger from the 1000 v2 doesn't work with the 240, and the car charger from the 240 doesn't work with the 1000 v2. Overall quite frustrating and disappointing. UPDATE: the icing on the cake is that Jackery reached out to me two days after I posted this review and offered to make it right for me. I accepted their offer the same day, and now three days later they messaged me back, backtracking from the offer they extended to me, and is saying they're going to have a customer service representative contact me shortly. What? So my experience which was negative just became exponentially more negative based on their handling of a formerly satisfied and now dissatisfied customer."
review54:,The unit had potential for size and power but the solar option which is what most of us buy these products for is lacking. There are two ports for solar but its not clear which is one takes the larger amount of power or if its split in half and both combined allow for the 400w input. Also the cable you need or adapter is specific to Jackery and isn't a universal port you can just connect your normal solar cables for. The unit powered most things but NOT MY DRYER which doesn't even surge to 1600watt. the unit doesn't even attempt to start my dryer it just cuts off. For small appliances like coffee makers or fridges yeah it works but use case is limited and not universal. ALSO I could not get this to charge fast even with the app settings.
review55:,Good product but should come with storage bags for the money instead of buying separate
review56:,"Well, it can't even run a 200 Watt heater for more than 4 hours, a vacuum took it down to50 percent charge quickly. I'm disappointed about that, Because I wanted to use it in my small cabin out by the lake, so for that I don't think it's worth the $800. They're asking for it. It does charge up pretty quickly. Maybe within 8 or 9 hours. It's fully charged again, but it's not as useful as I thought it would be period I think if you're just using it to power a laptop or a few other accessories charging phones but to run appliances. Maybe a small coffee Maker a couple times but really it's not all that I'm not real happy with it, over priced for the limitations and not nearly as advertised."
review57:,It took me a long time to figure out that the proper connection between the solar panels and the generator is the straight connector and not the right angle one. Nowhere in the instructions was this made clear and only after watching on line video reviews of the product did I realize why I could not make the solar panels generate input into the generator.
review58:,"I bought this to run lights for my booth at craft shows. After reading and watching hundreds of positive reviews, I thought I had found the perfect answer to my prayers! I did the math to be sure it would be able to supply the right amount of power that I needed, so I was super excited to give it a try. The first day I used it, it only lasted 5 hours and 50 minutes. Most of my shows are a minimum of 8 hours a day. When I found out that I wasn't allowed to return it, I was highly disappointed that I had wasted my money."
review59:,"Though it looks EXACTLY the same as other models, the input is very slightly different. My Jackery 300 takes a 7.9mm input, this takes an 8mm input. The 7.9 will fit but doesn't charge. Why not just make them all the same? You have to read VERY deep into the literature to find this info. Other than that, works great and has a built in solar charger so you can plug panels directly into it (not through their own controller if they have one)."
review60:,"I think Jackery makes a good product and that the design is well thought out. That being said, their product support desperately needs to be improved. I live in the Houston area and bought this product as part of my emergency preparedness setup. I tested it and was happy that it met my expectations. Then Hurricane Beryl hit, we were without power or cell phone service for nine days, and the AC outlets would not work. The display gave a fault code, but the instructions do not include a comprehensive list of fault codes. So I had no way to troubleshoot on my own. I had to drive out of the area to reach a place where I could get cell phone service, but their customer service does not have extended hours. When I finally did reach them, there was an astounding lack of urgency to resolve the problem. Each call was met with the reply that the appropriate team would get back to me within 48 hours. That was not acceptable! The item needed to be replaced, but they would not send the replacement until the defective item was received. Also not acceptable. There was way too much back and forth to resolve the issue, and their messages sometimes did not take into account information that was previously provided. It was a very frustrating experience, and I wound up converting my exchange into a return. It took a full 30 days of constant follow-up to receive my refund. Also not acceptable. The bottom line? Inadequate documentation and inept customer support."
review61:,"For the money you pay, it would be nice to get a cover over the Is cigarette lighter plug in. Also a bag n chargers with other ways of charging it. Like with the other brands n sizes."
review62:,"This is my 3rd Jackery unit I have purchased. I still have another older, 1000 W Jackery. Using the same amount of power, the old Jackery lasts nearly 3 times longer then this new one. While the new one charges way, way faster… it doesn’t last long."
review63:,Unfortunately these jackery 1000s don't work with diesel heaters which really bummed me out as I was in a 20 degree tent then found out.... as my 500 worked great but got stolen from my truck. Unfortunately a return for me now as thats one of my biggest reasons in wanting the Jackery. The heater gives a E02 error code which means its giving too much power to the heater. After going over all specs and everything that shouldnt of been an issue but sure is. Be careful getting this if using a diesel heater
review64:,"I really believed it would last at least for couple days, but it doesn't even last for a whole day, the only thing i connect is my laptop and it holds 6-8 hours max, what a waste..."
review65:,"BE VERY CAREFUL IF YOU WANT TO BUY THIS! I will say the battery came promptly and appears to do what it is supposed to do. Thankfully, haven't needed to use it, yet. The reason for warning is this DOES NOT come with solar panels. The description says ""solar powered"" and I even remember seeing a statement that the panels come separately. When I contacted Jackery, via Amazon, I was told the order I purchased didn't come bundled with the panels. There is NOTHING on the Amazon add that says the panels are not included. If you want to purchase the combination, you have to order directly from Jackery."
review66:,"Jackery charges a premium with their units than the competition. I bought their unit just because their perceived brand reputation thinking this may be safer and of better quality. I was completely wrong. The UPS function is not working properly likely due to a firmware bug. If the battery is charged 100% then it won't switch back to AC unless battery level is dropped to 99%. This can take very long if the battery is under light load and may be a hazard due to the voltage difference to the wall with other appliances. On inverter mode, the neutral also has voltage and the ground seems disconnected. This has caused my downstream appliances and surge protectors to report warning/faults. The Inverter has also damaged my computer PSU. I connected two computers, one turned on fine but the other started seriously vibrating. It was extremely loud and scary. The PSU seems to be permanently damaged. After this incident, every time on boot up it vibrates a bit. This is not acceptable and I had to return this item. The good part of the customer support experience are that seller provided shipment label. Also it accepted my price matching request within a week (before I found out all the problems and requested the return). But they never refunded me after receiving the return and has been falsely claiming that the refunding had been issued when questioned, though in reality even the Amazon customer service could not find the refund. I had to file a claim through Amazon to get my money back. To summarize, Jackery failed to perform proper QA to ensure proper functionality, used design/components that can cause damage, and their customer support, though prompt in response, gaslights and provides false information when issues occur."
review67:,"It used to be with a jackery product that you could simply plug whatever into it and it would just work. Outputs and inputs were all very flexible and they always worked. Now these next gen LifePO4 batteries are riddled with all kinds of glitches and temperamental behaviors. For example right now my battery shows 80% left and I want to top it off. I plug in the 12v cigarette adapter and it starts charging at 100 watts. Sounds good right? Nope, because after 5 seconds the battery reduced the charge input to 6 just watts which is terrible. Not a faulty plug or cord either. It’s jackery’s own cord. Ok, so I’ll use my inverter to charge it with 120v. Oh wait, can’t do that because my inverter is rated for 750 watts and the way this battery is designed it needs the full 1500 watt household rating just for it to recognize that input. Another terrible design. This thing can charge control to any wattage but it will only recognize one input wattage for 120v. So you basically can’t charge this from you RV’s inverter. Forcing someone to control certain features via the app is the final poor decision that lead me to return this. If they are going to force feed you to the app then make an app that actually works. The Bluetooth connection required drops or times out and it requires a complete new pairing to get connected again. Couldn’t return this fast enough. Last Chinese jackery product for me."
review68:,200w panel will give about 125W full sun. If you are lucky it will peak at 150W. The supplied cable likely reduces the power wattage. The 200w rating is likely theoretical direct at the combined cells without any external connectors or cables.
review69:,"Items come at different times, but you only get information on partial. Confusing as to whether everything will come together. Had to reach out to get additional information. It worked out, but confusing."
review70:,"***2 month update*** dependability ZERO, shuts off when it wants to, it has begun needing the reboot commands to get it operational again, absolute waste of money. ***original*** While it comes with a power cord for charging from a wall outlet, the seller separately only provides one DC connector for attaching a solar panel. However, there are two available input ports, and without this connector, the other port is essentially useless. The app that is supposed to pair with the unit rarely connects, and on my first trip, it completely stopped working. To make matters worse, the power button no longer turns off the unit, and every time it reaches a full 100% charge, it powers off once disconnected from the 120V power source which is annoying when you are not expecting the power to go out and reset your electronics (using it for video and satellite communications). Additionally, there's no straightforward way to charge the unit from a 12V DC source out of the box. This requires purchasing additional accessories, which is disappointing. Overall, I’ve encountered multiple frustrations with the unit, especially considering the cost."
review71:,"I recently bought a Jackery Explorer 1000 v2 solar generator that will charge just fine when plugged into 120 volts but will not charge from either of the two solar panels I have. I have a Dokio 200 watt solar panel that works perfectly and I use to charge my 12 Volt lead acid batteries using the charge controller. I plugged the Dokio and controller into my Jackery. It wouldn't charge. I plugged just the solar panel into my Jackery and even though the panels were putting out 14.9 volts the Jackery wouldn't charge. I called Jackery support and after a day or two got a call back and talked to a young lady with a thick accent who obviously knew nothing about electricity and simply told me to buy a jackery solar panel. I looked on Amazon for a Jackery solar panel but they were twice the price of everyone else's. I found a Grecell 200 watt solar panel that guaranteed compatibility with Jackery and ordered it. I plugged it into the jackery solar generator when it arrived but once again, the Jackery would not charge. I called jackery support again yesterday and I'm still waiting for a callback. I'm just about done with Jackery and my next call will either make or break whether I send the solar generator back for a refund. Stay tuned!"
review72:,"This is my sixth Jackery solar generator. Each iteration presents different standards for utilizing power and solar charging. This has always been disconcerting to me. When I set up this unit I plugged in a portable Jackery solar panel and could not make it work. I called Jackery—they explained that I needed an adapter, which they did not provide with the unit, furthermore they could not sell me an adapter because it was out of stock. Jackery is so greedy that they make their new products incompatible with their earlier products then leave the consumer solving a problem Jackery created and profits further from the solution. It feels like dealing with Apple. Note to Jackery, you are not Apple."
review73:,"Would not even power a light duty electric stapler on full charge. Good for lights and charging power tool batteries, and that's about it"
review74:,"Honestly, after having this item almost a month, I still don't know how well it works. It needs a proprietary connector to work with any solar panel but a Jackery brand. We ordered it (an additional $20) but we're not pleased, and may still return it."
review75:,"Unit was dead on arrival. Granted, Jackery offered to replace it, but I had already shipped it out of the US and could not ship it back. Thus, no replacement without sending the old unit back. Understandable, but be warned, these things have a reputation for being dead when they get to you (I am not the first to experience this problem)."
review76:,"Overpriced and unreliable. Multiple times throughout the night, it stays on but cuts power output. I would buy another brand. Very disappointed. Will be returning. review 77_ The item arrived today it was on sale for a package deal for the inverter and a solar panel photo includes my order receipt at a specially reduced price. The item arrived without the solar panel. The worst part is I had already ordered another unit that was refurbished back in June unfortunately it didn't work and I returned it I am still waiting for the refund from jackery I now have paid $900 for this combo and about another $500 for the other one I returned that I'm still waiting for the refund on and now I'm waiting for the other part and no word from jackery that it is on its way or acknowledging the problem at all"
review78:,This thing just almost caught my house on fire. The cord which was never used before today just caught on fire. I am livid! Decided to charge it in the house instead of with the solar panels and it caught fire. Bad cord! They sent my refund to he wrong place and did not credit my Amazon account as promised so I got nothing back. Do not buy from this company. I will not remove this unless they correct this issue.
review79:,This power station used battery power much more rapidly than it should and also was unable to run some items that were within the specs for wattage. Had to return it.
review80:,The Jackery Explorer appears to function OK. But the 200 W Solar panels are not putting out any wattage at all according to the Explorer. Nor are they charging the unit. Returning this.
review81:,Don't buy this. It's non-returnable. Absolutely not useable for tent camping. Stay with Coleman and ice. Turns out to be a very expensive mistake!
review82:,"Jackery Explorer 10000v2 did not work with my solar panels. After weeks of trying, they eventually took the unit back and refunded my money. To compensate for my hassles, they sent me a free Jackery 100."
review83:,"I ordered the 1000 v2 and solar panels. They shipped as two separate packages. The generator arrived on time. According to Amazon and the shipper the panels arrived today. But they didn't. We'll see what Jackery does to resolve this. This is generally a commentary on Jackery itself. For a quality company, they do seem to have issues with customer service, as in this case. As that is part of the whole experience, it seems like something they should pay better attention to. Once I get the panels I will review the package, but until they're here, that's a bit hard to do."
review84:,I got a 1500 watt generator. I use it to power a portable heater. I use it on low. And it periodically turns on and off on its own. The heater uses about 1300 watts. The battery only last 3 hours at most. If you are going to use this during long power outages think again. Please think of finding another generator.
review85:,"Battery drain quick, did not charge with solar panel."
review86,"Had issues with 2 items, both times customer service was either elusive/clueless or challenging to engage. I will no longer buy Jackery. Thanks and have a nice day."
review87:,"The title of the product suggests it comes with a solar generator, but it didn't. This makes the battery much less useful."
review88:,From this company at your own risk. Robert did not work and I had an almost impossible getting my money back. Avoid unless you just like headaches.
review89:,Item defective. Inverter portion wasn’t working. Asked to return. Given erroneous return instructions. Shipper would not accept due to the battery. Bad product and bad return instructions.
review90:,"Product seems to work okay but when I had a problem with the app that runs it, the company was not able to fix the problem. Undecided if I need to return it or not."
review91:,This unit wouldn't even run our space heater for 30min. Don't buy it. Get something else.
review92:,Two out of four batteries failed to charge.
review93:,We ONLY received the solar panel! We did NOT receive the generator! It shows that we got both but we did not!! We also have proof that the generator was NOT delivered!!
review94:,Got one that isn't working as advertised. Now I have to pay $50 in shipping to return it! Will update if shipping is paid for.
review95:,My order included solar panels but they weren’t shipped. I’ll change the rating when the issue is resolved.
review96:,"It came with wall cord,but does no chearge."
review97:,"Ordered mine directly from Jackery. Brand new out of the box had a 29% battery. I immediately plugged it in to get a full charge and it quoted me another 4.6 hours of charging. That’s funny, it specifically states a ‘full charge in 1.7 hours’ on all their literature….."
review98:,Love this jackery. It is extremely quiet. My only complaint is that the car charging cable from my previous jackerys does not work for this one. This is disappointing because this is why I’ve stayed with the same line.
review99:,Disappointed in power. I had purchased to have an electric backup for my koi pond pump. Lost power a couple of weeks ago and it was not able to provide enough power to run my pump.
review100:,"VERY UPSET that I received a USED generator. I paid the price for new and received something used. It works so far with the minimal testing I did, but I’m hoping it doesn’t show signs of whatever reason it whatever reason it was returned for."
